00:05:53 01-11-2022,Anonymous,User logged out
00:06:38 01-11-2022,Anonymous,User logged out
00:07:02 01-11-2022,Anonymous,User logged out
00:16:08 01-11-2022,Anonymous,User logged out
00:20:20 01-11-2022,Anonymous,User logged out
00:22:47 01-11-2022,Anonymous,User logged out
00:24:03 01-11-2022,Anonymous,User logged out
00:24:21 01-11-2022,Anonymous,User logged out
00:25:31 01-11-2022,Anonymous,User logged out
00:25:47 01-11-2022,Anonymous,User logged out
00:26:34 01-11-2022,Anonymous,User logged out
00:27:55 01-11-2022,Anonymous,User logged out
00:28:06 01-11-2022,Anonymous,User logged out
00:28:35 01-11-2022,Anonymous,User logged out
00:28:48 01-11-2022,Anonymous,User logged out
00:29:55 01-11-2022,Anonymous,User logged out
00:30:06 01-11-2022,Anonymous,User logged out
21:06:37 01-11-2022,Anonymous,User logged out
21:24:09 01-11-2022,Anonymous,User logged out
21:26:24 01-11-2022,Anonymous,User logged out
21:28:49 01-11-2022,Anonymous,User logged out
21:29:48 01-11-2022,Anonymous,User logged out
21:36:55 01-11-2022,Anonymous,User logged out
21:37:22 01-11-2022,Anonymous,User logged out
21:39:56 01-11-2022,Anonymous,User logged out
21:42:25 01-11-2022,Anonymous,User logged out
21:45:18 01-11-2022,Anonymous,User logged out
21:45:58 01-11-2022,Anonymous,User logged out
21:46:56 01-11-2022,Anonymous,User logged out
21:48:29 01-11-2022,Anonymous,User logged out
21:49:49 01-11-2022,Anonymous,User logged out
21:54:54 01-11-2022,Anonymous,User logged out
21:58:27 01-11-2022,Anonymous,User logged out
21:59:28 01-11-2022,Anonymous,User logged out
22:02:47 01-11-2022,Anonymous,User logged out
22:05:03 01-11-2022,Anonymous,User logged out
22:08:37 01-11-2022,Anonymous,User logged out
22:14:08 01-11-2022,Anonymous,User logged out
22:14:34 01-11-2022,Anonymous,User logged out
22:27:43 01-11-2022,Anonymous,User logged out
22:30:27 01-11-2022,Anonymous,User logged out
11:04:40 02-11-2022,Anonymous,User logged out
11:30:18 02-11-2022,Anonymous,User logged out
16:37:24 02-11-2022,Jake,Not enough change
16:37:24 02-11-2022,Sam,Not enough change
16:38:15 02-11-2022,Jake,Not enough change
16:38:15 02-11-2022,Sam,Not enough change
16:38:31 02-11-2022,Jake,Not enough change
16:38:31 02-11-2022,Sam,Not enough change
16:39:37 02-11-2022,Jake,Not enough change
16:39:37 02-11-2022,Sam,Not enough change
16:44:48 02-11-2022,Jake,Not enough change
16:44:48 02-11-2022,Sam,Not enough change
